timestamp ,rx                   ,ry                   ,rz                   ,tof ,actual_TCP_pose_0     ,actual_TCP_pose_1     ,actual_TCP_pose_2 ,actual_TCP_pose_3     ,actual_TCP_pose_4     ,actual_TCP_pose_5     ,x                     ,y                     ,z                 ,roll                  ,pitch                 ,yaw                   ,tx                   ,ty                    ,tz                    ,ft
    0.012 ,0                    ,0                    ,1                    , 72 ,0                     ,0                     ,         0.07     ,0                     ,0                     ,0                     ,0                     ,0                     ,0.07              ,0                     ,0                     ,0                     ,0                    ,-0                    ,-0                    ,0
    0.016 ,0.00099999999999989  ,0.00099999999999989  ,1.00799999999998     , 69 ,-1.29999999999991e-05 ,9.99999999995449e-06  ,         0.06996  ,5.10000000000024e-05  ,-1.70000000000031e-05 ,2.59999999999982e-05  ,3.44186590969797e-06  ,-1.83615796490316e-06 ,0.070006872715665 ,-0.000207032046645801 ,-0.000203662489623502 ,0.000144369775790104  ,0                    ,-0                    ,-0                    ,0
    0.02  ,0                    ,0.00099999999999989  ,1.005                , 69 ,-9.99999999987122e-07 ,5.99999999995049e-06  ,         0.069978 ,5.00000000000014e-05  ,-3.10000000000032e-05 ,-9.00000000000206e-06 ,6.77177412509999e-06  ,-3.41384579500073e-06 ,0.070013680749785 ,-0.000406642163864795 ,-0.000389872341170799 ,0.000309314442150502  ,0                    ,-0                    ,-0                    ,0
    0.024 ,-0.00200000000000022 ,0.004                ,1                    , 69 ,-3.99999999999012e-06 ,0                     ,         0.070005 ,3.000000000003e-06    ,-1.000000000001e-05   ,2.49999999999972e-05  ,9.91985829600084e-06  ,-4.69007991360168e-06 ,0.07002029507003  ,-0.000594888399905499 ,-0.00055399214587501  ,0.000493786236341803  ,0                    ,-0                    ,-0                    ,0
    0.028 ,-0.00300000000000011 ,0.00299999999999967  ,0.994                , 71 ,4.000000000004e-06    ,8.99999999992573e-06  ,         0.069981 ,5.20000000000034e-05  ,-4.20000000000004e-05 ,5.09999999999955e-05  ,1.28151629365941e-05  ,-5.62338243200247e-06 ,0.07002657849137  ,-0.000767691581366997 ,-0.000691358011807502 ,0.000696325606449506  ,0                    ,-0                    ,-0                    ,0
    0.032 ,-0.00300000000000011 ,0.00299999999999967  ,0.98399999999998     , 71 ,3.000000000003e-06    ,-2.00000000005751e-06 ,         0.070011 ,-7.79999999999947e-05 ,-8.000000000008e-06   ,0.000213999999999999  ,1.53862069386945e-05  ,-6.17472390190138e-06 ,0.070032387913154 ,-0.0009208900880937   ,-0.000797352506847204 ,0.000915050014822401  ,0                    ,-0                    ,-0                    ,0
    0.038 ,0.00099999999999989  ,0.0409999999999999   ,1.017                , 70 ,2.80000000000002e-05  ,-9.00000000003676e-06 ,         0.069965 ,-0.000266999999999996 ,0.000131999999999993  ,0.001551              ,1.84804609928008e-05  ,-6.20819652180291e-06 ,0.070039891369088 ,-0.0011047875126331   ,-0.000887751036485709 ,0.0012683113898395    ,0                    ,-0                    ,-0                    ,0
    0.042 ,0                    ,0.0760000000000001   ,1.071                , 70 ,3.70000000000092e-05  ,-1.09999999999832e-05 ,         0.069976 ,-0.000556999999999995 ,0.000254999999999991  ,0.00282499999999999   ,1.99352606929937e-05  ,-5.65671715400257e-06 ,0.07004386973119  ,-0.001190786838597    ,-0.000896146731127812 ,0.00151645523738361   ,0                    ,-0                    ,-0                    ,0
    0.046 ,-0.00800000000000001 ,0.0469999999999997   ,1.15899999999999     , 70 ,4.00000000000122e-05  ,-1.2000000000012e-05  ,         0.069981 ,-0.000849999999999997 ,0.000340999999999994  ,0.003617              ,2.08275196905e-05     ,-4.61718350290227e-06 ,0.070046857213336 ,-0.001242888899327    ,-0.000858560882623705 ,0.0017708457584824    ,0                    ,-0                    ,-0                    ,0
    0.052 ,-0.032               ,-0.0460000000000003  ,1.17599999999999     , 70 ,1.2000000000012e-05   ,1.2000000000012e-05   ,         0.069936 ,-0.000834999999999995 ,0.000321999999999989  ,0.003897              ,2.09824387532032e-05  ,-2.10502441360186e-06 ,0.070049169165011 ,-0.0012494509429698   ,-0.00070874627639661  ,0.00215582629511461   ,0                    ,-0                    ,-0                    ,0
    0.054 ,-0.0840000000000001  ,-0.00700000000000012 ,1.18899999999999     , 70 ,-1.99999999998812e-06 ,5.00000000003276e-06  ,         0.069963 ,-0.000831999999999999 ,0.000300999999999996  ,0.00378899999999999   ,2.06923727612968e-05  ,-1.00836743310156e-06 ,0.0700492933228   ,-0.0012308684476834   ,-0.0006325097992472   ,0.0022829750316545    ,0                    ,-0                    ,-0                    ,0
    0.06  ,-0.0779999999999998  ,0.0699999999999998   ,1.16699999999997     , 72 ,-0.000102999999999992 ,3.5999999999925e-05   ,         0.069917 ,-0.000698999999999998 ,0.000319              ,0.003585              ,1.87211392378012e-05  ,3.06241966569962e-06  ,0.070047506540815 ,-0.0011077294465002   ,-0.000321322860497603 ,0.0026529545414537    ,0                    ,-0                    ,-0                    ,0
    0.064 ,-0.0880000000000001  ,0.15                 ,1.16099999999997     , 72 ,-0.000125             ,4.59999999999905e-05  ,         0.069883 ,-0.000648999999999997 ,0.000314999999999996  ,0.00357399999999999   ,1.64486713998963e-05  ,6.41756584489686e-06  ,0.070044376672159 ,-0.0009665391422609   ,-4.36077133937063e-05 ,0.002883995962345     ,0                    ,-0                    ,-0                    ,0
